[[2024-03-06 08:34:25]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:34:36]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:34:46]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:34:56]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -67 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:35:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -67 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:35:16]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -67 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:35:26]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -67 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:35:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:35:47]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:35:57]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:36:07]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:36:17]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -67 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:36:27]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:36:38]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:36:48]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
[[2024-03-06 08:36:58]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:6B   , Signal Strength: -68 dBm  , Bus051_MAC: b8:27:eb:84:c4:23
